ID,Number,MinAmps,MaxAmps
SR01A-PC-HSTR-01,1,-4.999,4.999
SR01A-PC-HSTR-02,2,-4.999,4.999
SR01A-PC-HSTR-03,3,-4.999,4.999
SR01A-PC-HSTR-04,4,-4.999,4.999
SR01A-PC-HSTR-05,5,-4.999,4.999
SR01A-PC-HSTR-06,6,-4.999,4.999
SR01A-PC-HSTR-07,7,-4.999,4.999
SR02A-PC-HSTR-01,8,-4.999,4.999
SR02A-PC-HSTR-04,9,-4.999,4.999
SR02A-PC-HSTR-05,10,-4.999,4.999
SR02A-PC-HSCOR-01,11,-3.999,3.999
SR02A-PC-HSCOR-02,12,-3.999,3.999
SR02A-PC-HSTR-07,13,-4.999,4.999
SR02A-PC-HSTR-08,14,-4.999,4.999
SR02A-PC-HSTR-10,15,-4.999,4.999
SR03A-PC-HSTR-01,16,-4.999,4.999
SR03A-PC-HSTR-02,17,-4.999,4.999
SR03A-PC-HSTR-03,18,-4.999,4.999
SR03A-PC-HSTR-04,19,-4.999,4.999
SR03A-PC-HSTR-05,20,-4.999,4.999
SR03A-PC-HSTR-06,21,-4.999,4.999
SR03A-PC-HSTR-07,22,-4.999,4.999
SR04A-PC-HSTR-01,23,-4.999,4.999
SR04A-PC-HSTR-02,24,-4.999,4.999
SR04A-PC-HSTR-03,25,-4.999,4.999
SR04A-PC-HSTR-04,26,-4.999,4.999
SR04A-PC-HSTR-05,27,-4.999,4.999
SR04A-PC-HSTR-06,28,-4.999,4.999
SR04A-PC-HSTR-07,29,-4.999,4.999
SR05A-PC-HSTR-01,30,-4.999,4.999
SR05A-PC-HSTR-02,31,-4.999,4.999
SR05A-PC-HSTR-03,32,-4.999,4.999
SR05A-PC-HSTR-04,33,-4.999,4.999
SR05A-PC-HSTR-05,34,-4.999,4.999
SR05A-PC-HSTR-06,35,-4.999,4.999
SR05A-PC-HSTR-07,36,-4.999,4.999
SR06A-PC-HSTR-01,37,-4.999,4.999
SR06A-PC-HSTR-02,38,-4.999,4.999
SR06A-PC-HSTR-03,39,-4.999,4.999
SR06A-PC-HSTR-04,40,-4.999,4.999
